"Q38A","Q94","Q101","Q1","URBRUR","REGION","corruption_presidency","education","gender","age_group","urban_rural","region"
0,5,2,24,2,620,"None","Secondary school completed","Female","25-34","Rural","620"
1,4,1,41,2,620,"Some","Some secondary schooling","Male","35-44","Rural","620"
1,0,1,27,2,641,"Some","No formal schooling","Male","25-34","Rural","641"
3,0,2,70,2,642,"All","No formal schooling","Female","55+","Rural","642"
1,5,1,71,2,642,"Some","Secondary school completed","Male","55+","Rural","642"
0,5,1,25,2,642,"None","Secondary school completed","Male","25-34","Rural","642"
3,5,1,40,2,620,"All","Secondary school completed","Male","35-44","Rural","620"
1,7,1,25,2,642,"Some","Some university","Male","25-34","Rural","642"
3,0,1,30,2,641,"All","No formal schooling","Male","25-34","Rural","641"
0,5,2,30,2,620,"None","Secondary school completed","Female","25-34","Rural","620"
2,8,1,70,1,638,"Most","University completed","Male","55+","Urban","638"
2,6,2,28,1,638,"Most","Post-secondary qualifications","Female","25-34","Urban","638"
2,7,1,29,1,638,"Most","Some university","Male","25-34","Urban","638"
1,8,2,40,1,631,"Some","University completed","Female","35-44","Urban","631"
2,7,1,23,1,638,"Most","Some university","Male","18-24","Urban","638"
3,5,2,40,1,631,"All","Secondary school completed","Female","35-44","Urban","631"
1,0,2,40,2,641,"Some","No formal schooling","Female","35-44","Rural","641"
2,6,1,41,1,631,"Most","Post-secondary qualifications","Male","35-44","Urban","631"
2,0,2,30,2,641,"Most","No formal schooling","Female","25-34","Rural","641"
2,5,2,27,1,638,"Most","Secondary school completed","Female","25-34","Urban","638"
3,7,2,22,2,642,"All","Some university","Female","18-24","Rural","642"
1,6,1,88,2,642,"Some","Post-secondary qualifications","Male","55+","Rural","642"
1,0,2,30,1,638,"Some","No formal schooling","Female","25-34","Urban","638"
2,0,2,28,1,638,"Most","No formal schooling","Female","25-34","Urban","638"
1,8,2,32,2,620,"Some","University completed","Female","25-34","Rural","620"
1,3,1,62,1,638,"Some","Primary school completed","Male","55+","Urban","638"
2,5,1,35,2,620,"Most","Secondary school completed","Male","35-44","Rural","620"
3,7,2,35,2,620,"All","Some university","Female","35-44","Rural","620"
3,6,2,25,2,642,"All","Post-secondary qualifications","Female","25-34","Rural","642"
1,7,1,32,1,631,"Some","Some university","Male","25-34","Urban","631"
3,4,2,48,1,631,"All","Some secondary schooling","Female","45-54","Urban","631"
1,5,1,21,1,631,"Some","Secondary school completed","Male","18-24","Urban","631"
3,8,1,43,2,642,"All","University completed","Male","35-44","Rural","642"
2,3,1,19,2,642,"Most","Primary school completed","Male","18-24","Rural","642"
3,4,1,22,1,631,"All","Some secondary schooling","Male","18-24","Urban","631"
1,9,1,47,1,638,"Some","Post-graduate","Male","45-54","Urban","638"
3,5,2,23,1,638,"All","Secondary school completed","Female","18-24","Urban","638"
1,7,2,28,1,638,"Some","Some university","Female","25-34","Urban","638"
1,8,1,29,1,638,"Some","University completed","Male","25-34","Urban","638"
2,3,2,30,1,631,"Most","Primary school completed","Female","25-34","Urban","631"
1,4,2,20,1,631,"Some","Some secondary schooling","Female","18-24","Urban","631"
2,6,2,45,1,631,"Most","Post-secondary qualifications","Female","45-54","Urban","631"
1,5,2,26,2,642,"Some","Secondary school completed","Female","25-34","Rural","642"
1,0,2,19,2,641,"Some","No formal schooling","Female","18-24","Rural","641"
1,0,1,37,2,641,"Some","No formal schooling","Male","35-44","Rural","641"
2,5,1,23,2,642,"Most","Secondary school completed","Male","18-24","Rural","642"
2,1,1,32,2,641,"Most","Informal schooling only","Male","25-34","Rural","641"
2,7,2,25,1,638,"Most","Some university","Female","25-34","Urban","638"
1,5,2,26,2,620,"Some","Secondary school completed","Female","25-34","Rural","620"
0,5,2,39,2,620,"None","Secondary school completed","Female","35-44","Rural","620"
2,1,1,32,2,641,"Most","Informal schooling only","Male","25-34","Rural","641"
3,6,1,50,2,620,"All","Post-secondary qualifications","Male","45-54","Rural","620"
2,6,2,23,2,642,"Most","Post-secondary qualifications","Female","18-24","Rural","642"
3,5,2,40,2,620,"All","Secondary school completed","Female","35-44","Rural","620"
1,6,1,36,1,638,"Some","Post-secondary qualifications","Male","35-44","Urban","638"
2,5,1,54,1,638,"Most","Secondary school completed","Male","55+","Urban","638"
1,5,2,20,1,638,"Some","Secondary school completed","Female","18-24","Urban","638"
1,0,2,39,2,641,"Some","No formal schooling","Female","35-44","Rural","641"
0,0,2,28,2,641,"None","No formal schooling","Female","25-34","Rural","641"
2,0,1,21,2,641,"Most","No formal schooling","Male","18-24","Rural","641"
1,4,1,35,2,620,"Some","Some secondary schooling","Male","35-44","Rural","620"
2,1,2,18,2,641,"Most","Informal schooling only","Female","18-24","Rural","641"
2,5,2,46,2,620,"Most","Secondary school completed","Female","45-54","Rural","620"
0,5,1,22,2,620,"None","Secondary school completed","Male","18-24","Rural","620"
3,3,1,56,2,620,"All","Primary school completed","Male","55+","Rural","620"
2,8,2,65,2,642,"Most","University completed","Female","55+","Rural","642"
2,5,1,18,1,641,"Most","Secondary school completed","Male","18-24","Urban","641"
2,4,2,20,1,641,"Most","Some secondary schooling","Female","18-24","Urban","641"
1,5,1,19,1,641,"Some","Secondary school completed","Male","18-24","Urban","641"
2,7,2,19,2,636,"Most","Some university","Female","18-24","Rural","636"
1,2,1,19,1,641,"Some","Some primary schooling","Male","18-24","Urban","641"
1,5,1,18,2,636,"Some","Secondary school completed","Male","18-24","Rural","636"
2,4,1,30,2,636,"Most","Some secondary schooling","Male","25-34","Rural","636"
3,5,2,35,2,636,"All","Secondary school completed","Female","35-44","Rural","636"
1,4,2,32,1,641,"Some","Some secondary schooling","Female","25-34","Urban","641"
1,5,1,48,1,632,"Some","Secondary school completed","Male","45-54","Urban","632"
1,5,2,23,1,632,"Some","Secondary school completed","Female","18-24","Urban","632"
1,5,2,30,1,632,"Some","Secondary school completed","Female","25-34","Urban","632"
1,5,1,45,2,638,"Some","Secondary school completed","Male","45-54","Rural","638"
2,3,1,45,2,636,"Most","Primary school completed","Male","45-54","Rural","636"
2,6,1,49,1,641,"Most","Post-secondary qualifications","Male","45-54","Urban","641"
1,1,2,45,2,638,"Some","Informal schooling only","Female","45-54","Rural","638"
2,6,1,52,1,632,"Most","Post-secondary qualifications","Male","45-54","Urban","632"
1,6,1,53,2,638,"Some","Post-secondary qualifications","Male","45-54","Rural","638"
1,4,2,25,1,641,"Some","Some secondary schooling","Female","25-34","Urban","641"
2,2,2,45,1,641,"Most","Some primary schooling","Female","45-54","Urban","641"
1,8,2,42,2,636,"Some","University completed","Female","35-44","Rural","636"
1,5,1,19,2,636,"Some","Secondary school completed","Male","18-24","Rural","636"
3,5,2,38,2,636,"All","Secondary school completed","Female","35-44","Rural","636"
1,5,1,23,1,632,"Some","Secondary school completed","Male","18-24","Urban","632"
2,0,1,52,1,632,"Most","No formal schooling","Male","45-54","Urban","632"
2,5,2,18,1,632,"Most","Secondary school completed","Female","18-24","Urban","632"
1,0,2,24,2,638,"Some","No formal schooling","Female","25-34","Rural","638"
1,4,2,65,1,632,"Some","Some secondary schooling","Female","55+","Urban","632"
3,4,2,55,2,638,"All","Some secondary schooling","Female","55+","Rural","638"
2,1,2,42,2,638,"Most","Informal schooling only","Female","35-44","Rural","638"
1,3,1,30,2,638,"Some","Primary school completed","Male","25-34","Rural","638"
2,5,1,40,1,623,"Most","Secondary school completed","Male","35-44","Urban","623"
1,8,1,32,1,623,"Some","University completed","Male","25-34","Urban","623"
1,7,1,34,1,623,"Some","Some university","Male","35-44","Urban","623"
3,4,2,19,1,623,"All","Some secondary schooling","Female","18-24","Urban","623"
1,4,2,37,1,636,"Some","Some secondary schooling","Female","35-44","Urban","636"
3,8,1,42,1,636,"All","University completed","Male","35-44","Urban","636"
1,8,1,33,1,636,"Some","University completed","Male","25-34","Urban","636"
1,5,2,23,1,636,"Some","Secondary school completed","Female","18-24","Urban","636"
1,7,1,28,1,653,"Some","Some university","Male","25-34","Urban","653"
3,6,1,27,1,623,"All","Post-secondary qualifications","Male","25-34","Urban","623"
2,4,2,18,1,653,"Most","Some secondary schooling","Female","18-24","Urban","653"
1,0,1,56,2,638,"Some","No formal schooling","Male","55+","Rural","638"
2,5,1,35,2,638,"Most","Secondary school completed","Male","35-44","Rural","638"
2,3,1,25,2,638,"Most","Primary school completed","Male","25-34","Rural","638"
3,5,2,28,1,623,"All","Secondary school completed","Female","25-34","Urban","623"
2,3,1,20,1,653,"Most","Primary school completed","Male","18-24","Urban","653"
2,5,1,37,1,653,"Most","Secondary school completed","Male","35-44","Urban","653"
2,7,2,21,1,636,"Most","Some university","Female","18-24","Urban","636"
1,5,2,43,1,623,"Some","Secondary school completed","Female","35-44","Urban","623"
2,8,1,50,1,636,"Most","University completed","Male","45-54","Urban","636"
1,7,1,35,1,636,"Some","Some university","Male","35-44","Urban","636"
3,6,2,24,1,632,"All","Post-secondary qualifications","Female","25-34","Urban","632"
2,5,2,22,1,632,"Most","Secondary school completed","Female","18-24","Urban","632"
1,8,2,48,1,632,"Some","University completed","Female","45-54","Urban","632"
2,5,2,32,1,623,"Most","Secondary school completed","Female","25-34","Urban","623"
0,5,2,18,1,653,"None","Secondary school completed","Female","18-24","Urban","653"
2,3,1,37,1,653,"Most","Primary school completed","Male","35-44","Urban","653"
1,2,2,42,2,638,"Some","Some primary schooling","Female","35-44","Rural","638"
2,0,2,29,2,638,"Most","No formal schooling","Female","25-34","Rural","638"
1,2,2,25,1,653,"Some","Some primary schooling","Female","25-34","Urban","653"
1,0,2,45,2,638,"Some","No formal schooling","Female","45-54","Rural","638"
2,2,2,23,1,653,"Most","Some primary schooling","Female","18-24","Urban","653"
1,1,1,70,2,638,"Some","Informal schooling only","Male","55+","Rural","638"
1,5,1,40,1,623,"Some","Secondary school completed","Male","35-44","Urban","623"
3,3,2,39,1,623,"All","Primary school completed","Female","35-44","Urban","623"
1,6,1,64,1,632,"Some","Post-secondary qualifications","Male","55+","Urban","632"
3,6,1,26,1,632,"All","Post-secondary qualifications","Male","25-34","Urban","632"
2,6,1,25,1,632,"Most","Post-secondary qualifications","Male","25-34","Urban","632"
1,7,2,29,1,623,"Some","Some university","Female","25-34","Urban","623"
3,2,1,21,1,623,"All","Some primary schooling","Male","18-24","Urban","623"
3,4,1,23,1,623,"All","Some secondary schooling","Male","18-24","Urban","623"
3,6,2,50,1,623,"All","Post-secondary qualifications","Female","45-54","Urban","623"
2,8,2,26,1,623,"Most","University completed","Female","25-34","Urban","623"
1,0,1,88,1,632,"Some","No formal schooling","Male","55+","Urban","632"
3,7,1,35,1,632,"All","Some university","Male","35-44","Urban","632"
2,5,1,97,1,632,"Most","Secondary school completed","Male","55+","Urban","632"
2,0,2,60,1,632,"Most","No formal schooling","Female","55+","Urban","632"
1,8,1,43,1,638,"Some","University completed","Male","35-44","Urban","638"
2,3,1,27,1,638,"Most","Primary school completed","Male","25-34","Urban","638"
3,4,2,35,2,636,"All","Some secondary schooling","Female","35-44","Rural","636"
3,8,2,44,1,638,"All","University completed","Female","45-54","Urban","638"
2,6,1,52,1,638,"Most","Post-secondary qualifications","Male","45-54","Urban","638"
1,5,2,48,2,636,"Some","Secondary school completed","Female","45-54","Rural","636"
3,3,1,20,2,636,"All","Primary school completed","Male","18-24","Rural","636"
1,5,1,35,2,636,"Some","Secondary school completed","Male","35-44","Rural","636"
1,3,2,21,2,653,"Some","Primary school completed","Female","18-24","Rural","653"
3,5,1,25,2,653,"All","Secondary school completed","Male","25-34","Rural","653"
2,0,1,42,2,653,"Most","No formal schooling","Male","35-44","Rural","653"
2,2,1,24,2,653,"Most","Some primary schooling","Male","25-34","Rural","653"
2,5,1,41,2,623,"Most","Secondary school completed","Male","35-44","Rural","623"
2,6,1,34,1,632,"Most","Post-secondary qualifications","Male","35-44","Urban","632"
2,6,2,33,1,638,"Most","Post-secondary qualifications","Female","25-34","Urban","638"
3,4,2,29,2,623,"All","Some secondary schooling","Female","25-34","Rural","623"
2,5,1,63,2,623,"Most","Secondary school completed","Male","55+","Rural","623"
1,3,1,25,2,623,"Some","Primary school completed","Male","25-34","Rural","623"
2,5,2,32,2,636,"Most","Secondary school completed","Female","25-34","Rural","636"
1,0,2,60,1,632,"Some","No formal schooling","Female","55+","Urban","632"
2,5,2,35,1,632,"Most","Secondary school completed","Female","35-44","Urban","632"
2,2,2,76,1,638,"Most","Some primary schooling","Female","55+","Urban","638"
1,0,2,49,2,653,"Some","No formal schooling","Female","45-54","Rural","653"
3,4,1,44,2,653,"All","Some secondary schooling","Male","45-54","Rural","653"
2,6,1,64,2,636,"Most","Post-secondary qualifications","Male","55+","Rural","636"
2,1,2,24,2,653,"Most","Informal schooling only","Female","25-34","Rural","653"
2,3,2,28,1,638,"Most","Primary school completed","Female","25-34","Urban","638"
3,5,2,21,1,632,"All","Secondary school completed","Female","18-24","Urban","632"
3,8,1,35,2,636,"All","University completed","Male","35-44","Rural","636"
2,8,1,28,1,638,"Most","University completed","Male","25-34","Urban","638"
2,3,2,38,2,653,"Most","Primary school completed","Female","35-44","Rural","653"
1,4,2,26,2,636,"Some","Some secondary schooling","Female","25-34","Rural","636"
3,4,1,39,2,623,"All","Some secondary schooling","Male","35-44","Rural","623"
1,5,2,20,2,623,"Some","Secondary school completed","Female","18-24","Rural","623"
1,4,2,20,2,623,"Some","Some secondary schooling","Female","18-24","Rural","623"
0,0,2,36,2,623,"None","No formal schooling","Female","35-44","Rural","623"
2,3,2,21,2,653,"Most","Primary school completed","Female","18-24","Rural","653"
0,7,1,39,2,653,"None","Some university","Male","35-44","Rural","653"
1,3,1,40,2,653,"Some","Primary school completed","Male","35-44","Rural","653"
2,6,2,49,1,638,"Most","Post-secondary qualifications","Female","45-54","Urban","638"
3,3,1,23,1,638,"All","Primary school completed","Male","18-24","Urban","638"
1,3,1,30,2,653,"Some","Primary school completed","Male","25-34","Rural","653"
2,5,1,33,1,638,"Most","Secondary school completed","Male","25-34","Urban","638"
2,4,1,26,1,638,"Most","Some secondary schooling","Male","25-34","Urban","638"
2,3,1,52,2,653,"Most","Primary school completed","Male","45-54","Rural","653"
1,8,2,34,2,653,"Some","University completed","Female","35-44","Rural","653"
1,4,2,45,2,636,"Some","Some secondary schooling","Female","45-54","Rural","636"
2,1,2,30,2,653,"Most","Informal schooling only","Female","25-34","Rural","653"
3,5,2,27,2,636,"All","Secondary school completed","Female","25-34","Rural","636"
2,5,2,26,2,636,"Most","Secondary school completed","Female","25-34","Rural","636"
2,8,1,44,2,636,"Most","University completed","Male","45-54","Rural","636"
2,6,2,19,1,638,"Most","Post-secondary qualifications","Female","18-24","Urban","638"
2,4,2,22,2,632,"Most","Some secondary schooling","Female","18-24","Rural","632"
3,4,2,25,1,638,"All","Some secondary schooling","Female","25-34","Urban","638"
2,2,2,20,2,653,"Most","Some primary schooling","Female","18-24","Rural","653"
1,6,2,30,2,632,"Some","Post-secondary qualifications","Female","25-34","Rural","632"
2,5,2,32,1,623,"Most","Secondary school completed","Female","25-34","Urban","623"
1,6,1,37,1,638,"Some","Post-secondary qualifications","Male","35-44","Urban","638"
2,0,2,30,1,638,"Most","No formal schooling","Female","25-34","Urban","638"
3,8,1,21,1,623,"All","University completed","Male","18-24","Urban","623"
1,5,1,62,2,636,"Some","Secondary school completed","Male","55+","Rural","636"
1,8,1,40,2,636,"Some","University completed","Male","35-44","Rural","636"
2,5,2,34,2,632,"Most","Secondary school completed","Female","35-44","Rural","632"
2,5,1,20,2,636,"Most","Secondary school completed","Male","18-24","Rural","636"
3,3,2,35,2,636,"All","Primary school completed","Female","35-44","Rural","636"
2,3,1,67,1,623,"Most","Primary school completed","Male","55+","Urban","623"
2,4,1,30,2,632,"Most","Some secondary schooling","Male","25-34","Rural","632"
1,5,1,33,2,632,"Some","Secondary school completed","Male","25-34","Rural","632"
2,5,1,18,1,623,"Most","Secondary school completed","Male","18-24","Urban","623"
3,5,2,20,1,623,"All","Secondary school completed","Female","18-24","Urban","623"
3,5,2,30,1,623,"All","Secondary school completed","Female","25-34","Urban","623"
2,5,2,25,1,623,"Most","Secondary school completed","Female","25-34","Urban","623"
1,5,1,31,2,632,"Some","Secondary school completed","Male","25-34","Rural","632"
3,3,1,23,2,632,"All","Primary school completed","Male","18-24","Rural","632"
3,5,2,26,2,632,"All","Secondary school completed","Female","25-34","Rural","632"
2,7,1,23,1,623,"Most","Some university","Male","18-24","Urban","623"
3,5,1,40,1,623,"All","Secondary school completed","Male","35-44","Urban","623"
2,5,2,19,1,623,"Most","Secondary school completed","Female","18-24","Urban","623"
3,5,1,41,1,636,"All","Secondary school completed","Male","35-44","Urban","636"
1,5,1,20,1,636,"Some","Secondary school completed","Male","18-24","Urban","636"
2,5,1,28,1,636,"Most","Secondary school completed","Male","25-34","Urban","636"
3,7,2,20,1,636,"All","Some university","Female","18-24","Urban","636"
2,3,1,22,1,623,"Most","Primary school completed","Male","18-24","Urban","623"
2,0,1,21,2,653,"Most","No formal schooling","Male","18-24","Rural","653"
2,4,2,19,2,653,"Most","Some secondary schooling","Female","18-24","Rural","653"
2,0,1,60,2,653,"Most","No formal schooling","Male","55+","Rural","653"
3,0,1,24,2,653,"All","No formal schooling","Male","25-34","Rural","653"
3,5,2,21,1,623,"All","Secondary school completed","Female","18-24","Urban","623"
3,3,2,27,2,648,"All","Primary school completed","Female","25-34","Rural","648"
2,2,2,60,2,648,"Most","Some primary schooling","Female","55+","Rural","648"
2,8,2,35,1,623,"Most","University completed","Female","35-44","Urban","623"
1,5,1,19,2,648,"Some","Secondary school completed","Male","18-24","Rural","648"
3,4,1,25,1,623,"All","Some secondary schooling","Male","25-34","Urban","623"
3,5,1,54,1,636,"All","Secondary school completed","Male","55+","Urban","636"
2,3,1,20,2,653,"Most","Primary school completed","Male","18-24","Rural","653"
2,5,2,39,1,636,"Most","Secondary school completed","Female","35-44","Urban","636"
2,1,2,19,2,653,"Most","Informal schooling only","Female","18-24","Rural","653"
1,0,2,18,2,653,"Some","No formal schooling","Female","18-24","Rural","653"
3,1,2,31,2,653,"All","Informal schooling only","Female","25-34","Rural","653"
1,4,2,40,2,638,"Some","Some secondary schooling","Female","35-44","Rural","638"
3,8,2,60,1,623,"All","University completed","Female","55+","Urban","623"
1,5,1,32,2,638,"Some","Secondary school completed","Male","25-34","Rural","638"
3,4,2,24,1,636,"All","Some secondary schooling","Female","25-34","Urban","636"
1,5,1,31,2,638,"Some","Secondary school completed","Male","25-34","Rural","638"
1,5,1,69,2,638,"Some","Secondary school completed","Male","55+","Rural","638"
2,5,2,29,1,636,"Most","Secondary school completed","Female","25-34","Urban","636"
1,6,1,48,2,648,"Some","Post-secondary qualifications","Male","45-54","Rural","648"
1,5,2,18,2,648,"Some","Secondary school completed","Female","18-24","Rural","648"
2,5,1,27,1,623,"Most","Secondary school completed","Male","25-34","Urban","623"
2,5,2,28,2,638,"Most","Secondary school completed","Female","25-34","Rural","638"
2,5,1,40,1,623,"Most","Secondary school completed","Male","35-44","Urban","623"
2,8,1,45,2,638,"Most","University completed","Male","45-54","Rural","638"
2,5,1,46,1,623,"Most","Secondary school completed","Male","45-54","Urban","623"
1,2,2,40,2,638,"Some","Some primary schooling","Female","35-44","Rural","638"
2,5,2,22,2,638,"Most","Secondary school completed","Female","18-24","Rural","638"
1,6,2,39,1,623,"Some","Post-secondary qualifications","Female","35-44","Urban","623"
2,0,2,23,2,653,"Most","No formal schooling","Female","18-24","Rural","653"
1,0,1,40,2,653,"Some","No formal schooling","Male","35-44","Rural","653"
0,0,1,64,2,653,"None","No formal schooling","Male","55+","Rural","653"
2,2,1,31,2,653,"Most","Some primary schooling","Male","25-34","Rural","653"
2,6,2,26,1,623,"Most","Post-secondary qualifications","Female","25-34","Urban","623"
3,4,2,21,2,648,"All","Some secondary schooling","Female","18-24","Rural","648"
1,5,2,27,1,623,"Some","Secondary school completed","Female","25-34","Urban","623"
2,0,1,47,2,653,"Most","No formal schooling","Male","45-54","Rural","653"
1,4,1,26,2,648,"Some","Some secondary schooling","Male","25-34","Rural","648"
1,0,2,35,2,653,"Some","No formal schooling","Female","35-44","Rural","653"
3,8,1,30,1,636,"All","University completed","Male","25-34","Urban","636"
